Directors,Film ID
Anatole Litvak,1d36e03f-db5b-44e6-8cba-9c914bcb72f0
George Stevens,4ca1818a-9d22-4a5e-884e-4f892a2232ed
Elia Kazan,2c848e08-0362-4305-b9c6-b52b3210b998
Cecil B. DeMille,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
Fred Zinnemann,839c34d7-1b03-447d-b883-d03e35bd12c5
Richard Thorpe,0726de1a-97f7-4d02-8ebf-ede53d66faf7
John Huston,ba1a50b8-ecb8-4626-b122-a29205c20a4f
John Ford,6e88383e-fac9-4946-a4fc-f4d0a9647c07
Fred Zinnemann,4053e1d8-c821-4247-a020-baca7eaef18d
Joseph L. Mankiewicz,c809744c-13bb-4ded-b500-91b644ee825f
Henry Koster,2ee37736-fd84-4b57-a9c9-df11a9e70329
William Wyler,b732f88f-79d4-43c3-b355-02f7898d908f
George Stevens,32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
Elia Kazan,6e80353a-6ace-497d-9c6c-1756457a6dc8
Edward Dmytryk,6eae2bc6-40f4-44f8-85c6-a11f363726cf
George Seaton,27b1c21b-9ec8-4270-84a1-ff91400e2b2e
Stanley Donen,96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
Jean Negulesco,2ebbefba-fb33-47ed-97bb-2b22c85606db
Delbert Mann,0e335b5a-ed13-4c51-8028-d489d57a1e75
John Ford,eab1a500-de95-4cf8-a44e-314760de571d
 Mervyn LeRoy,eab1a500-de95-4cf8-a44e-314760de571d
Joshua Logan,d9576b2a-0b16-4c95-b574-4ea6cd782260
Daniel Mann,a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
Michael Anderson,a0ddcb59-a173-4ffb-9139-3a1a71d006aa
William Wyler,bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
George Stevens,c77c1d53-c9ea-400d-ad82-7e740e7f1e29
Walter Lang,05914cd6-60ae-4836-bdc7-1e6ec4b1eb8c
Cecil B. DeMille,7f920258-daa7-4df8-84f1-2f41ddb99b9d
David Lean,fc627090-b4c0-418b-8437-94b0f41d9bba
Mark Robson,548cd53c-e455-4fe0-b10b-64d59cadc17b
Billy Wilder,db810dc3-c8f5-40be-b525-a77898135ad4
Vincente Minnelli,7d5a1db5-c60e-458c-9f9e-4ce599f4118a
Morton DaCosta,ed3ebe9b-ba2b-4a93-bd71-369b04396fab
Richard Brooks,466621aa-287c-4316-9083-74a5fc72a4f6
Stanley Kramer,45435847-81e6-44f8-891d-59ac0e5bb985
Delbert Mann,a19cbb5a-db41-4119-a8ed-c805948873a8
William Wyler,0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
Otto Preminger,326c4a14-173e-40e2-a943-bc8e7f61128c
George Stevens,77f80298-293e-4bd3-a071-394c8136600d
Fred Zinnemann,acc60dd6-f542-493e-9900-2174bd8cf1b2
Billy Wilder,bec485c9-8736-4ec5-8275-478478dc1d20
John Wayne,547529c6-55ca-4007-be9d-d064b271c15e
Fred Zinnemann,f7881b5a-0ca8-44df-aef1-7428f3a703e0
Robert Wise,ef8f5e5d-f603-44ab-b358-091f26b0da7b
 Jerome Robbins,ef8f5e5d-f603-44ab-b358-091f26b0da7b
J. Lee Thompson,ea4834bd-a58a-44a0-b796-7e54e3422e90
Robert Rossen,0d5ee029-1350-4625-b906-afc878129ecf
David Lean,77641adf-a5dc-4475-9e3b-dd61c4e32951
Ken Annakin,4f1a7a69-6434-477c-9124-2341c633a8a8
 Andrew Marton,4f1a7a69-6434-477c-9124-2341c633a8a8
 Gerd Oswald,4f1a7a69-6434-477c-9124-2341c633a8a8
 Bernhard Wicki,4f1a7a69-6434-477c-9124-2341c633a8a8
 Darryl F. Zanuck,4f1a7a69-6434-477c-9124-2341c633a8a8
Morton DaCosta,1a4cbf83-c2d2-4bad-91c5-83aaac03ed16
Lewis Milestone,8d5317bd-df12-4f24-b34d-e5047ef4665e
 Carol Reed,8d5317bd-df12-4f24-b34d-e5047ef4665e
